Episode 50: Reward=-229953.68, Success=62.02%
Episode 100: Reward=-217331.88, Success=0.00%
Episode 150: Reward=-222471.81, Success=0.00%
Episode 200: Reward=-255647.30, Success=0.00%
Episode 250: Reward=-240567.52, Success=0.00%
Episode 300: Reward=-223095.96, Success=0.00%
Episode 50: Reward=-177843.51, Success=92.47%
Episode 100: Reward=-108253.68, Success=94.54%
Episode 150: Reward=-14494.23, Success=96.39%
Episode 200: Reward=726.25, Success=99.91%
Episode 250: Reward=1313.05, Success=100.00%
Episode 300: Reward=1254.23, Success=100.00%
Episode 350: Reward=1264.44, Success=100.00%
Episode 400: Reward=1253.23, Success=100.00%
Episode 450: Reward=1391.49, Success=100.00%
Episode 500: Reward=1280.52, Success=100.00%
Episode 550: Reward=1333.74, Success=100.00%
Episode 600: Reward=1255.53, Success=100.00%
Episode 650: Reward=1360.03, Success=100.00%
Episode 700: Reward=1378.16, Success=100.00%
Episode 750: Reward=1261.58, Success=100.00%
Episode 800: Reward=1306.07, Success=100.00%
Episode 850: Reward=-40868.40, Success=98.93%
Episode 900: Reward=1318.46, Success=100.00%
Episode 950: Reward=1300.65, Success=100.00%
Episode 1000: Reward=1368.55, Success=100.00%
Episode 1050: Reward=1343.64, Success=100.00%
Episode 1100: Reward=1336.18, Success=100.00%
Episode 1150: Reward=1331.57, Success=100.00%
Episode 1200: Reward=1279.25, Success=100.00%
Episode 1250: Reward=1279.22, Success=100.00%
Episode 1300: Reward=1305.69, Success=100.00%
Episode 1350: Reward=1344.76, Success=100.00%
Episode 1400: Reward=1299.49, Success=100.00%
Episode 1450: Reward=1385.46, Success=100.00%
Episode 1500: Reward=1211.71, Success=100.00%
Episode 1550: Reward=1290.98, Success=100.00%
Episode 1600: Reward=1286.74, Success=100.00%
Episode 1650: Reward=1338.53, Success=100.00%
Episode 1700: Reward=1395.10, Success=100.00%
Episode 1750: Reward=1317.38, Success=100.00%
Episode 1800: Reward=1375.98, Success=100.00%
Episode 1850: Reward=1312.42, Success=100.00%
Episode 1900: Reward=1244.34, Success=100.00%
Episode 1950: Reward=1316.27, Success=100.00%
